family,gene,n_contigs
Aeromonadaceae,aac(6')-Ib,4
Aeromonadaceae,blaCTX-M-15,6
Aeromonadaceae,blaKPC-2,0
Aeromonadaceae,blaNDM-1,0
Aeromonadaceae,blaOXA-48,0
Aeromonadaceae,blaTEM-1,6
Aeromonadaceae,blaZ,0
Aeromonadaceae,catA1,0
Aeromonadaceae,dfrA17,2
Aeromonadaceae,ermB,0
Aeromonadaceae,floR,8
Aeromonadaceae,mcr-1,2
Aeromonadaceae,mecA,0
Aeromonadaceae,mefA,0
Aeromonadaceae,qnrS1,8
Aeromonadaceae,sul1,6
Aeromonadaceae,sul2,5
Aeromonadaceae,tet(A),5
Aeromonadaceae,tet(M),2
Aeromonadaceae,vanA,0
Bacillaceae,aac(6')-Ib,0
Bacillaceae,blaCTX-M-15,0
Bacillaceae,blaKPC-2,0
Bacillaceae,blaNDM-1,0
Bacillaceae,blaOXA-48,0
Bacillaceae,blaTEM-1,0
Bacillaceae,blaZ,4
Bacillaceae,catA1,0
Bacillaceae,dfrA17,0
Bacillaceae,ermB,7
Bacillaceae,floR,0
Bacillaceae,mcr-1,0
Bacillaceae,mecA,0
Bacillaceae,mefA,0
Bacillaceae,qnrS1,0
Bacillaceae,sul1,0
Bacillaceae,sul2,0
Bacillaceae,tet(A),0
Bacillaceae,tet(M),6
Bacillaceae,vanA,3
Campylobacteraceae,aac(6')-Ib,0
Campylobacteraceae,blaCTX-M-15,0
Campylobacteraceae,blaKPC-2,0
Campylobacteraceae,blaNDM-1,0
Campylobacteraceae,blaOXA-48,0
Campylobacteraceae,blaTEM-1,0
Campylobacteraceae,blaZ,0
Campylobacteraceae,catA1,0
Campylobacteraceae,dfrA17,0
Campylobacteraceae,ermB,2
Campylobacteraceae,floR,0
Campylobacteraceae,mcr-1,0
Campylobacteraceae,mecA,0
Campylobacteraceae,mefA,0
Campylobacteraceae,qnrS1,0
Campylobacteraceae,sul1,0
Campylobacteraceae,sul2,0
Campylobacteraceae,tet(A),0
Campylobacteraceae,tet(M),7
Campylobacteraceae,vanA,0
Enterobacteriaceae,aac(6')-Ib,8
Enterobacteriaceae,blaCTX-M-15,7
Enterobacteriaceae,blaKPC-2,7
Enterobacteriaceae,blaNDM-1,7
Enterobacteriaceae,blaOXA-48,9
Enterobacteriaceae,blaTEM-1,9
Enterobacteriaceae,blaZ,0
Enterobacteriaceae,catA1,7
Enterobacteriaceae,dfrA17,4
Enterobacteriaceae,ermB,0
Enterobacteriaceae,floR,8
Enterobacteriaceae,mcr-1,7
Enterobacteriaceae,mecA,0
Enterobacteriaceae,mefA,0
Enterobacteriaceae,qnrS1,5
Enterobacteriaceae,sul1,8
Enterobacteriaceae,sul2,6
Enterobacteriaceae,tet(A),6
Enterobacteriaceae,tet(M),4
Enterobacteriaceae,vanA,0
Enterococcaceae,aac(6')-Ib,0
Enterococcaceae,blaCTX-M-15,0
Enterococcaceae,blaKPC-2,0
Enterococcaceae,blaNDM-1,0
Enterococcaceae,blaOXA-48,0
Enterococcaceae,blaTEM-1,0
Enterococcaceae,blaZ,3
Enterococcaceae,catA1,0
Enterococcaceae,dfrA17,0
Enterococcaceae,ermB,10
Enterococcaceae,floR,0
Enterococcaceae,mcr-1,0
Enterococcaceae,mecA,0
Enterococcaceae,mefA,0
Enterococcaceae,qnrS1,0
Enterococcaceae,sul1,0
Enterococcaceae,sul2,0
Enterococcaceae,tet(A),0
Enterococcaceae,tet(M),6
Enterococcaceae,vanA,6
Moraxellaceae,aac(6')-Ib,6
Moraxellaceae,blaCTX-M-15,4
Moraxellaceae,blaKPC-2,4
Moraxellaceae,blaNDM-1,2
Moraxellaceae,blaOXA-48,0
Moraxellaceae,blaTEM-1,8
Moraxellaceae,blaZ,0
Moraxellaceae,catA1,0
Moraxellaceae,dfrA17,0
Moraxellaceae,ermB,0
Moraxellaceae,floR,1
Moraxellaceae,mcr-1,2
